Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor_por_mes;Valor_por_ano;Descricao;Possui_suite
Apartamento;Praça Seca;1;1;1;70;600.0;481.0;17.0;1081.0;12989.0;Apartamento em Praça Seca com 1 quarto(s)\ e 1 vaga(s) de garagem;Sim
Apartamento;São Cristóvão;1;0;0;56;850.0;450.0;15.0;1300.0;15615.0;Apartamento em São Cristóvão com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Quitinete;Copacabana;1;0;0;30;1200.0;320.0;54.0;1520.0;18294.0;Quitinete em Copacabana com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Copacabana;1;0;0;41;1200.0;430.0;0.0;1630.0;19560.0;Apartamento em Copacabana com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Centro;1;0;0;38;900.0;223.0;15.0;1123.0;13491.0;Apartamento em Centro com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Quitinete;Laranjeiras;1;0;0;26;700.0;450.0;0.0;1150.0;13800.0;Quitinete em Laranjeiras com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Catete;1;0;0;31;1200.0;370.0;0.0;1570.0;18840.0;Apartamento em Catete com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Méier;1;0;0;47;700.0;435.0;162.0;1135.0;13782.0;Apartamento em Méier com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Engenho Novo;1;1;1;51;850.0;509.0;17.0;1359.0;16325.0;Apartamento em Engenho Novo com 1 quarto(s)\ e 1 vaga(s) de garagem;Sim
Apartamento;Méier;1;0;0;55;850.0;340.0;16.0;1190.0;14296.0;Apartamento em Méier com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Quitinete;Centro;1;0;0;28;900.0;350.0;20.0;1250.0;15020.0;Quitinete em Centro com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Quitinete;Copacabana;1;0;0;40;1100.0;450.0;50.0;1550.0;18650.0;Quitinete em Copacabana com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Flamengo;1;0;1;26;1100.0;381.0;29.0;1481.0;17801.0;Apartamento em Flamengo com 1 quarto(s)\ e 0 vaga(s) de garagem;Sim
Apartamento;Santa Teresa;1;0;0;45;740.0;180.0;25.0;920.0;11065.0;Apartamento em Santa Teresa com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
